Date,Open,High,Low,Close,Volume,Adj Close
03/11/2016,110.980003,111.459999,109.550003,109.830002,26932600,109.830002
02/11/2016,111.400002,112.349998,111.230003,111.589996,28331700,111.019995
01/11/2016,113.459999,113.769997,110.529999,111.489998,43825800,110.920507
31/10/2016,113.650002,114.230003,113.199997,113.540001,26419400,112.960039
28/10/2016,113.870003,115.209999,113.449997,113.720001,37861700,113.13912
27/10/2016,115.389999,115.860001,114.099998,114.480003,34562000,113.89524
26/10/2016,114.309998,115.699997,113.309998,115.589996,66134200,114.999563
25/10/2016,117.949997,118.360001,117.309998,118.25,48129000,117.645979
24/10/2016,117.099998,117.739998,117,117.650002,23538700,117.049045
21/10/2016,116.809998,116.910004,116.279999,116.599998,23192700,116.004406
20/10/2016,116.860001,117.379997,116.330002,117.059998,24125800,116.462055
19/10/2016,117.25,117.760002,113.800003,117.120003,20034600,116.521754
18/10/2016,118.18,118.209999,117.449997,117.470001,24553500,116.869965
17/10/2016,117.330002,117.839996,116.779999,117.550003,23624900,116.949558
14/10/2016,117.879997,118.169998,117.129997,117.629997,35652200,117.029143
13/10/2016,116.790001,117.440002,115.720001,116.980003,35192400,116.38247
12/10/2016,117.349998,117.980003,116.75,117.339996,37586800,116.740624
11/10/2016,117.699997,118.690002,116.199997,116.300003,64041000,115.705943
10/10/2016,115.019997,116.75,114.720001,116.050003,36236000,115.45722
07/10/2016,114.309998,114.559998,113.510002,114.059998,24358400,113.477379
06/10/2016,113.699997,114.339996,113.129997,113.889999,28779300,113.308249
05/10/2016,113.400002,113.660004,112.690002,113.050003,21453100,112.472544
04/10/2016,113.059998,114.309998,112.629997,113,29736800,112.422796
03/10/2016,112.709999,113.050003,112.279999,112.519997,21701800,111.945245
30/09/2016,112.459999,113.370003,111.800003,113.050003,36379100,112.472544
29/09/2016,113.160004,113.800003,111.800003,112.18,35887000,111.606985
28/09/2016,113.690002,114.639999,113.43,113.949997,29641100,113.36794
27/09/2016,113,113.18,112.339996,113.089996,24607400,112.512333
